taskid; title; points; description;
1; Assignment 1; 11; ; 
1a; ; 4; Text $\sqrt{6}$; 
1b; ; 3; \textbf{Text 1}; 
1c; ; 4; \textbf{Text 1}; 
2; Assignment 2; 8; ; 
2a; ; 2; Text [3]; 
2b; ; 3; Text [3]; 
2c; ; 1; Text 4,5; 
2d; ; 2; \textcolor{javapurple}{Text 2}; 
3; Assignment 3; 8; ; 
3a; ; 4; Explanation $[3 + 3]$\newline $\Rightarrow$ Explanation) 3; 
3b; ; 4; Text [3]; 
4; Assignment 4; 10; ; 
4a; ; 4; Explanation $[3 + 3]$\newline $\Rightarrow$ Explanation) 3; 
4b; ; 2; Text [3]; 
4c; ; 3; \textbf{Text 1}; 
4d; ; 1; \textcolor{javapurple}{Text 2}; 
